epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
60,58522.6,0.66837,0.56981,0.00875,0.87057,0.87532,0.88883,0.7443,0.64165,0.53189,0.01324,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,59495.6,0.66821,0.56848,0.00876,0.86984,0.87768,0.88799,0.74414,0.63999,0.5341,0.01318,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,60472.1,0.65888,0.55998,0.00865,0.8725,0.87586,0.88796,0.74465,0.63761,0.53242,0.01312,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,61450.1,0.6532,0.54913,0.00846,0.87423,0.8775,0.88809,0.74454,0.63748,0.53029,0.01311,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,62422.2,0.65434,0.54195,0.00854,0.8715,0.87504,0.88852,0.74483,0.63596,0.53253,0.01307,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,63395.7,0.64861,0.54812,0.00845,0.87822,0.87364,0.89013,0.74567,0.63604,0.53053,0.01306,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,64370.2,0.64269,0.54623,0.00835,0.88036,0.87606,0.8914,0.74669,0.63736,0.52787,0.0131,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,65349.9,0.64293,0.53583,0.00835,0.88181,0.8752,0.89127,0.74636,0.6374,0.52444,0.01307,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,66326.5,0.63838,0.53364,0.00831,0.88053,0.8771,0.8918,0.74639,0.63811,0.52331,0.01306,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,67302.9,0.63603,0.52596,0.00822,0.88009,0.87701,0.89277,0.7471,0.63765,0.52018,0.01304,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,68282,0.62697,0.52134,0.00806,0.88045,0.87677,0.89328,0.74682,0.63525,0.52214,0.01296,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,69258.2,0.62566,0.51956,0.00812,0.8765,0.87972,0.89282,0.74651,0.63543,0.52247,0.01293,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,70233.5,0.62025,0.50901,0.00798,0.88298,0.87704,0.89286,0.74637,0.63687,0.51938,0.01297,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,71207.8,0.61253,0.50253,0.00792,0.88227,0.87572,0.89286,0.74631,0.63827,0.51921,0.013,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,72181,0.61229,0.50262,0.0079,0.88339,0.87325,0.89189,0.74578,0.6403,0.51602,0.01304,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,73157.4,0.60472,0.49425,0.00782,0.88252,0.87342,0.89181,0.745,0.64026,0.51499,0.01302,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,74134.2,0.60187,0.48863,0.00775,0.88391,0.87465,0.89207,0.74546,0.64224,0.51201,0.01306,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,75109.6,0.59757,0.48413,0.00764,0.88228,0.87471,0.89247,0.74527,0.64207,0.51301,0.01306,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,76087.7,0.59305,0.48259,0.00759,0.8831,0.8734,0.89147,0.74463,0.64322,0.51143,0.01308,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,77061.2,0.59421,0.48501,0.00755,0.88074,0.87643,0.8922,0.74471,0.64347,0.5122,0.01306,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,78038.3,0.58932,0.47622,0.0075,0.8822,0.87597,0.89252,0.74536,0.64363,0.51279,0.01308,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,79018.3,0.58418,0.45922,0.00746,0.88302,0.87652,0.89239,0.74516,0.646,0.51238,0.01312,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,79996.6,0.58171,0.45701,0.00742,0.88056,0.8768,0.89209,0.74496,0.64578,0.51341,0.01314,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,80976.3,0.57466,0.45271,0.00727,0.87886,0.87682,0.89136,0.74454,0.6474,0.51515,0.01319,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,81975,0.57063,0.4458,0.00723,0.8786,0.87454,0.89173,0.74445,0.64942,0.51127,0.01325,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,82966.9,0.56867,0.4403,0.0072,0.88041,0.87163,0.89058,0.7442,0.65072,0.51095,0.01326,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
